"Season","Team","Bat","BsR","Fld","Pos","Off","Def","Lg","Rep","RAR","WAR"
"2011","Orioles","-19.6","1.6","-5.2","3.9","-18.0","-1.3","3.4","24.7","8.8","0.9"
"2012","Giants","-10.3","0.6","-8.2","2.8","-9.6","-5.4","0.6","24.4","10.0","1.0"
"2014","Diamondbacks","-15.5","-0.1","-1.6","2.9","-15.6","1.3","1.5","21.0","8.2","0.9"
"2010","Orioles","-18.4","0.5","0.8","2.5","-17.9","3.4","3.9","20.6","10.0","1.0"
"2018","Blue Jays","-14.0","-0.8","-16.4","4.6","-14.7","-11.8","2.5","23.4","-0.6","-0.1"
"2018","Mariners","-15.8","6.6","-2.6","2.4","-9.1","-0.2","3.5","33.4","27.6","2.8"
"2019","Mariners","-11.2","3.8","-4.1","1.4","-7.5","-2.7","2.4","19.1","11.3","1.1"
"2019","Reds","-35.1","1.6","-1.2","1.4","-33.5","0.2","1.1","36.2","4.1","0.4"
"2010","Cardinals","-18.4","1.3","-13.4","2.7","-17.1","-10.7","0.5","23.8","-3.5","-0.4"
"2019","Red Sox","-33.1","-6.0","3.1","-3.0","-39.1","0.1","4.4","34.6","-0.1","0.0"
"2010","Nationals","-27.7","-4.4","8.3","2.5","-32.2","10.8","0.7","31.0","10.3","1.1"
"2019","Mets","-16.4","-1.8","0.2","2.5","-18.2","2.8","0.7","23.9","9.2","0.9"
"2019","Marlins","-20.5","-7.1","-3.6","3.2","-27.5","-0.4","0.9","27.6","0.5","0.0"
"2015","Cardinals","-14.3","5.7","1.6","3.3","-8.7","4.9","1.4","23.7","21.3","2.3"
"2011","Indians","-13.9","3.4","-21.2","2.0","-10.5","-19.3","3.1","22.1","-4.6","-0.5"
"2013","Rockies","-36.9","4.5","1.3","4.6","-32.4","5.9","1.4","27.5","2.4","0.3"
"2013","Reds","-18.2","-0.6","12.8","3.4","-18.8","16.2","1.1","23.4","21.9","2.4"
"2012","Padres","-13.5","6.0","-10.1","3.3","-7.5","-6.8","0.7","27.1","13.5","1.4"
"2019","Giants","-22.7","-2.6","2.5","3.5","-25.3","6.0","0.9","28.7","10.2","1.0"
"2017","White Sox","-24.5","0.5","10.2","1.6","-24.0","11.8","3.4","32.3","23.5","2.3"
"2011","Phillies","-25.6","13.8","5.0","4.7","-11.8","9.7","1.4","31.8","31.1","3.3"
"2010","Rockies","-40.0","7.1","-0.5","4.0","-32.9","3.5","0.6","26.8","-2.1","-0.2"
"2016","Reds","-29.4","-4.5","2.2","2.4","-33.9","4.6","0.9","29.9","1.5","0.1"
"2015","Cubs","-32.5","0.7","8.0","10.2","-31.8","18.2","2.4","41.5","30.4","3.2"
"2010","Padres","-21.4","1.6","12.5","4.7","-19.8","17.2","0.6","29.9","28.0","2.9"
