"Season","Team","Bat","BsR","Fld","Pos","Off","Def","Lg","Rep","RAR","WAR"
"2016","Reds","-20.2","14.6","6.2","-0.8","-5.7","5.4","0.9","30.0","30.6","3.1"
"2010","Twins","-13.7","1.3","7.4","2.1","-12.4","9.5","4.1","21.8","23.0","2.4"
"2013","Padres","-6.9","6.9","-9.9","-0.6","0.0","-10.4","1.4","28.7","19.7","2.1"
"2015","Giants","-7.6","5.3","-10.4","0.0","-2.3","-10.5","1.6","28.2","17.0","1.8"
"2019","Tigers","-19.4","2.1","-13.2","0.5","-17.2","-12.6","4.0","32.0","6.2","0.6"
"2015","Mariners","-5.1","-0.7","-2.1","0.9","-5.9","-1.1","2.2","18.0","13.2","1.4"
"2017","Brewers","-16.0","4.3","2.9","1.7","-11.7","4.6","1.3","20.1","14.2","1.4"
"2012","Mets","-8.4","4.0","-0.2","0.8","-4.5","0.7","0.5","22.1","18.9","2.0"
"2012","Cubs","-26.4","4.7","-3.2","-3.3","-21.7","-6.5","1.0","41.0","13.9","1.5"
"2015","Nationals","-12.2","2.2","-1.0","0.7","-10.0","-0.3","1.3","23.0","14.0","1.5"
"2011","Indians","-13.1","3.4","-3.8","-3.1","-9.7","-6.8","4.2","30.5","18.2","1.9"
"2014","Blue Jays","-10.2","4.8","6.1","-1.6","-5.4","4.5","2.8","23.9","25.8","2.8"
"2016","Brewers","-21.7","2.0","1.4","-1.2","-19.7","0.2","0.9","28.6","10.0","1.0"
"2010","Padres","-10.0","7.0","15.3","0.3","-3.0","15.6","0.5","21.0","34.1","3.5"
"2016","Rays","-16.5","3.4","14.2","-3.1","-13.1","11.1","4.6","32.7","35.4","3.6"
"2013","Indians","-16.4","10.3","0.2","-1.8","-6.1","-1.6","4.1","30.2","26.6","2.9"
"2018","Blue Jays","-9.0","4.4","2.1","1.7","-4.6","3.8","1.8","17.0","18.1","1.9"
"2018","Padres","-16.1","3.2","-3.0","-1.5","-12.9","-4.5","1.7","31.7","16.0","1.7"
"2019","Reds","-15.4","-1.3","-0.4","1.5","-16.7","1.1","0.5","17.5","2.5","0.2"
"2011","White Sox","-16.7","1.3","0.7","0.7","-15.4","1.4","3.0","21.5","10.5","1.1"
"2016","Mariners","-7.6","4.6","4.2","2.2","-3.0","6.4","2.5","17.4","23.2","2.4"
"2013","Astros","-15.2","1.8","-2.1","-0.9","-13.4","-2.9","3.4","25.3","12.3","1.3"
"2010","Astros","-17.3","10.1","22.6","1.8","-7.2","24.4","0.5","22.9","40.6","4.2"
"2011","Braves","-13.1","9.2","-6.6","1.3","-3.9","-5.4","1.0","23.0","14.7","1.6"
"2016","Diamondbacks","-31.4","5.9","0.9","4.0","-25.6","4.9","1.0","32.9","13.2","1.3"
"2013","Royals","-12.7","7.1","14.7","0.5","-5.6","15.2","2.6","19.5","31.7","3.4"
"2019","Indians","-21.9","4.6","-2.7","0.8","-17.3","-1.9","3.1","24.3","8.2","0.8"
"2013","Marlins","-17.5","2.7","10.1","-1.5","-14.8","8.7","1.5","31.3","26.7","2.9"
"2019","White Sox","-18.3","7.2","2.0","0.6","-11.1","2.5","3.4","27.2","22.1","2.1"
"2014","Athletics","-10.5","14.7","1.0","-1.5","4.2","-0.5","3.3","28.5","35.5","3.9"
"2011","Nationals","-15.3","2.3","4.4","0.5","-13.0","5.0","1.0","21.9","14.8","1.6"
"2016","Twins","-23.4","8.9","-1.8","-1.0","-14.5","-2.8","4.0","28.2","14.8","1.5"
"2012","Blue Jays","-19.3","5.3","2.5","0.4","-14.0","2.9","3.5","24.0","16.5","1.7"
"2012","Royals","-16.9","8.4","0.7","0.0","-8.5","0.7","3.3","23.0","18.6","1.9"
"2010","Braves","-27.2","1.3","-20.5","-1.4","-26.0","-21.9","0.6","29.7","-17.5","-1.8"
"2019","Giants","-22.3","4.9","1.3","-0.2","-17.4","1.1","0.9","28.6","13.2","1.3"
"2017","Athletics","-19.4","2.6","-16.4","-0.4","-16.9","-16.8","2.8","26.8","-4.0","-0.4"
"2012","Reds","-24.6","10.8","6.6","0.1","-13.8","6.7","0.7","27.6","21.2","2.2"
"2014","Cubs","-30.9","8.3","0.2","-3.1","-22.6","-3.0","3.2","45.1","22.7","2.5"
"2014","Phillies","-14.5","11.3","-14.3","2.0","-3.2","-12.2","1.5","21.3","7.4","0.8"
"2015","Rangers","-22.4","10.5","6.3","0.1","-11.9","6.4","2.9","24.2","21.6","2.3"
"2015","Indians","-13.4","4.1","1.2","1.8","-9.3","3.0","1.9","15.9","11.4","1.2"
"2015","Twins","-14.9","-0.4","8.2","1.7","-15.3","9.9","2.1","17.6","14.3","1.5"
"2011","Twins","-20.3","7.0","18.1","1.4","-13.3","19.4","3.2","23.0","32.3","3.4"
"2012","Astros","-21.0","1.8","7.7","0.7","-19.1","8.4","0.6","24.1","14.0","1.5"
"2012","Marlins","-30.2","5.7","-9.5","-1.6","-24.5","-11.1","0.9","35.8","1.0","0.1"
"2013","Phillies","-23.1","3.1","-15.9","-0.6","-20.0","-16.5","1.4","28.6","-6.5","-0.7"
"2015","Braves","-18.9","3.6","-4.6","1.2","-15.4","-3.4","1.4","23.3","5.9","0.6"
