"Season","Team","Bat","BsR","Fld","Pos","Off","Def","Lg","Rep","RAR","WAR"
"2012","Mariners","-18.3","0.5","-4.5","-9.5","-17.8","-14.0","3.7","25.5","-2.6","-0.3"
"2013","Giants","-22.9","-2.7","20.5","-6.9","-25.6","13.6","1.7","35.2","25.0","2.7"
"2014","Reds","-34.9","-2.9","-0.5","-9.4","-37.8","-10.0","2.3","32.7","-12.7","-1.4"
"2010","Mariners","-27.6","3.9","2.1","-12.2","-23.7","-10.1","5.3","27.9","-0.6","-0.1"
"2011","Twins","-25.5","-3.5","2.5","-9.2","-29.0","-6.7","2.9","21.3","-11.5","-1.2"
"2016","Astros","-25.6","-1.9","5.8","-9.7","-27.5","-3.8","3.5","24.4","-3.5","-0.4"
"2012","Indians","-28.1","3.9","-6.2","-11.2","-24.3","-17.4","3.9","26.8","-11.0","-1.1"
"2018","Giants","-40.7","2.7","-6.1","-8.6","-38.0","-14.7","2.1","38.7","-11.9","-1.2"
"2016","Angels","-34.8","-1.8","9.2","-11.4","-36.6","-2.2","4.4","30.8","-3.7","-0.4"
"2011","Angels","-24.9","1.1","7.5","-7.1","-23.8","0.4","3.0","22.0","1.5","0.2"
"2017","Giants","-39.6","4.5","-3.9","-7.1","-35.1","-11.1","1.9","29.8","-14.5","-1.4"
"2017","Royals","-26.4","0.7","10.2","-6.3","-25.6","3.8","1.8","16.9","-3.2","-0.3"
"2018","Tigers","-47.7","3.0","13.4","-9.6","-44.7","3.7","3.3","31.6","-6.0","-0.6"
"2016","Phillies","-55.3","3.6","-6.2","-10.8","-51.7","-17.0","1.0","33.2","-34.5","-3.5"
"2015","Angels","-40.9","-0.7","5.6","-11.5","-41.6","-5.8","3.1","25.7","-18.7","-2.0"
