"Season","Team","Bat","BsR","Fld","Pos","Off","Def","Lg","Rep","RAR","WAR"
"2012","Tigers","50.8","-7.8","-2.1","1.2","43.0","-0.9","3.1","21.7","66.9","7.0"
"2013","Tigers","58.4","-6.4","-3.5","3.5","52.0","0.1","3.4","25.4","80.8","8.7"
"2019","Nationals","41.5","0.9","1.1","2.1","42.4","3.2","0.7","21.7","68.0","6.6"
"2015","Blue Jays","44.7","4.0","8.6","1.5","48.7","10.1","2.5","20.8","82.1","8.7"
"2019","Rockies","24.6","2.5","10.3","2.3","27.0","12.5","0.6","20.8","61.1","5.9"
"2010","Red Sox","30.4","-3.4","10.1","2.4","27.1","12.5","3.7","19.5","62.7","6.5"
"2019","Astros","83.3","-4.7","-1.1","-3.6","78.6","-4.7","5.5","43.7","123.2","12.0"
"2018","Dodgers","59.4","3.0","-0.6","-3.0","62.4","-3.6","1.7","30.5","90.9","9.4"
"2017","Cubs","40.9","5.0","-3.2","2.1","45.9","-1.1","1.7","26.7","73.2","7.3"
"2013","Athletics","36.0","0.3","7.1","2.1","36.3","9.3","2.6","19.1","67.2","7.3"
"2016","Rockies","22.0","-1.1","2.2","2.5","20.9","4.7","0.7","21.6","47.8","4.9"
"2017","Rockies","23.9","2.8","5.8","2.8","26.7","8.6","1.7","27.0","64.0","6.4"
"2014","Rangers","32.1","-0.2","3.4","0.7","31.9","4.1","2.2","19.2","57.4","6.3"
"2019","Reds","28.8","-6.2","-0.2","2.1","22.6","1.9","0.6","20.8","46.0","4.5"
"2010","Blue Jays","51.6","-4.3","-4.2","-2.3","47.3","-6.5","7.0","37.0","84.8","8.8"
"2012","Padres","37.9","1.9","5.1","2.4","39.8","7.5","0.5","20.6","68.5","7.2"
"2019","Red Sox","29.1","2.3","2.7","2.2","31.4","4.9","2.8","22.1","61.2","5.9"
"2012","Mets","32.9","-0.7","8.0","2.3","32.2","10.3","0.5","19.8","62.8","6.6"
"2010","Rays","30.5","4.5","12.1","2.3","35.0","14.4","3.7","19.6","72.7","7.5"
"2018","Indians","40.6","11.4","0.9","0.0","52.0","0.9","3.2","30.5","86.8","8.9"
"2015","Cardinals","30.6","1.3","-4.8","2.1","31.9","-2.6","1.1","19.4","49.8","5.3"
"2013","Rangers","25.2","-3.6","-2.0","0.5","21.6","-1.6","2.8","20.6","43.3","4.7"
"2015","Rockies","16.3","-1.1","4.1","2.3","15.3","6.4","1.1","19.4","42.2","4.5"
"2018","Astros","38.6","3.7","-4.2","2.5","42.3","-1.7","2.6","24.5","67.7","7.0"
"2015","Orioles","29.2","1.2","5.8","2.6","30.4","8.4","2.5","20.8","62.1","6.6"
"2018","Athletics","28.2","2.6","10.9","2.2","30.8","13.1","2.0","18.4","64.3","6.6"
"2018","Nationals","24.5","6.2","5.1","2.3","30.7","7.3","1.1","20.0","59.1","6.1"
"2018","Rockies","18.9","1.6","7.2","0.6","20.4","7.8","1.4","26.2","55.8","5.7"
"2017","Nationals","24.4","1.3","15.0","3.2","25.7","18.2","1.5","24.3","69.7","6.9"
"2016","Blue Jays","40.1","0.0","6.4","1.5","40.1","7.9","4.5","31.4","83.9","8.6"
"2011","Rangers","38.9","2.4","5.4","-9.6","41.3","-4.2","5.3","38.7","81.2","8.6"
"2012","Rangers","23.7","-0.5","8.5","-0.7","23.3","7.8","3.2","22.2","56.4","5.9"
"2019","Cubs","31.9","6.2","-6.4","1.0","38.0","-5.4","1.0","31.1","64.7","6.3"
"2016","Mariners","27.3","-2.1","-0.1","2.2","25.2","2.1","2.9","20.4","50.6","5.2"
"2019","Yankees","40.8","-4.5","-1.4","-0.2","36.4","-1.6","4.7","37.1","76.6","7.4"
"2019","Dodgers","22.9","-2.0","-7.6","0.5","21.0","-7.1","0.6","20.3","34.8","3.4"
"2012","Cardinals","31.2","-4.8","-3.2","-0.6","26.4","-3.7","0.7","26.8","50.1","5.3"
"2019","White Sox","26.1","2.1","4.7","2.3","28.2","6.9","2.9","22.7","60.6","5.9"
"2013","Rays","25.6","-3.9","5.4","0.7","21.7","6.0","2.7","19.9","50.3","5.4"
"2018","Cardinals","41.2","-1.6","-4.8","-3.0","39.5","-7.9","1.8","34.0","67.6","7.0"
"2017","Brewers","15.1","-1.8","-0.3","2.0","13.4","1.6","1.2","18.8","35.0","3.5"
"2010","Reds","19.3","-0.6","9.0","1.3","18.7","10.3","0.5","24.4","54.0","5.6"
"2014","Dodgers","30.9","0.3","8.1","2.9","31.2","11.0","1.6","22.7","66.5","7.3"
"2016","Cubs","38.0","11.0","10.0","1.1","49.0","11.2","1.2","40.2","101.6","10.4"
"2010","Nationals","19.4","-3.6","21.2","2.7","15.8","23.9","0.5","23.7","64.0","6.6"
"2017","Reds","12.9","-1.4","4.7","2.2","11.5","7.0","1.2","19.5","39.3","3.9"
"2017","Rangers","19.1","-0.5","-1.7","-6.0","18.6","-7.7","3.7","34.7","49.3","4.9"
"2017","Indians","22.3","-1.7","4.9","2.8","20.6","7.7","3.3","31.0","62.6","6.2"
"2019","Athletics","21.5","0.9","14.8","2.3","22.4","17.1","2.7","21.1","63.2","6.1"
"2010","Mets","18.1","-2.0","-7.9","1.9","16.1","-6.0","0.5","22.0","32.6","3.4"
"2010","Braves","25.5","11.0","-8.7","3.6","36.5","-5.1","0.8","36.0","68.1","7.1"
"2016","Diamondbacks","10.0","4.4","-11.8","2.0","14.4","-9.8","0.5","17.9","23.1","2.4"
"2017","Dodgers","25.7","2.5","5.3","2.4","28.2","7.7","2.0","31.7","69.6","6.9"
"2014","Athletics","22.7","-1.9","7.9","1.3","20.7","9.2","2.3","19.6","51.8","5.7"
"2019","Braves","17.1","-2.5","-1.3","2.6","14.6","1.3","0.9","28.5","45.3","4.4"
"2013","Mets","32.7","0.4","3.4","-0.2","33.1","3.2","1.5","30.1","67.8","7.3"
"2017","Astros","19.2","-0.4","-8.1","3.0","18.8","-5.1","2.3","21.8","37.9","3.8"
"2011","Cubs","18.2","-6.2","-11.4","1.5","12.0","-9.9","1.2","27.1","30.4","3.2"
"2011","Rays","18.6","0.2","13.9","1.3","18.8","15.2","2.7","19.7","56.4","6.0"
"2016","Rays","17.0","0.1","0.5","1.4","17.1","2.0","3.0","21.0","43.0","4.4"
"2010","Royals","12.4","-4.6","-14.1","0.3","7.8","-13.8","4.1","21.9","20.0","2.1"
"2016","Nationals","12.9","2.0","6.1","2.9","14.9","9.1","0.7","24.5","49.2","5.0"
"2018","Reds","14.4","-4.6","-6.4","3.0","9.8","-3.4","1.3","24.4","32.1","3.3"
"2019","Mets","23.0","-4.4","-6.9","-1.4","18.6","-8.4","0.9","30.2","41.5","4.0"
"2014","Mariners","19.2","-3.8","8.7","2.3","15.4","11.0","2.2","18.5","47.0","5.2"
"2017","Tigers","14.2","-2.7","-17.0","0.6","11.5","-16.4","2.5","23.8","21.5","2.1"
"2015","Royals","13.8","-7.1","5.6","2.2","6.7","7.9","2.3","19.6","36.5","3.9"
"2016","Pirates","17.5","-7.1","-2.7","-0.8","10.3","-3.6","0.8","27.0","34.6","3.5"
"2016","Dodgers","14.9","-0.1","9.2","2.2","14.8","11.4","0.6","20.6","47.5","4.9"
"2018","Brewers","14.3","1.0","-0.9","2.2","15.3","1.3","1.3","24.1","42.0","4.3"
"2015","Cubs","17.6","8.9","1.5","2.7","26.5","4.2","1.6","27.9","60.2","6.4"
"2016","Orioles","15.7","0.9","10.5","4.2","16.6","14.7","3.9","27.4","62.6","6.4"
"2018","Yankees","15.5","-0.2","-14.4","1.0","15.3","-13.4","2.4","22.9","27.3","2.8"
"2015","Reds","12.4","-0.5","5.4","2.4","12.0","7.8","1.2","19.8","40.7","4.3"
"2014","Reds","18.8","5.8","6.7","0.8","24.6","7.5","2.1","29.2","63.4","7.0"
"2012","Brewers","13.6","-2.7","4.9","3.2","11.0","8.1","0.7","30.0","49.8","5.2"
"2016","Cardinals","27.7","-2.9","-13.2","3.2","24.7","-10.0","1.5","48.7","64.9","6.6"
"2012","Braves","11.4","-6.9","3.3","2.1","4.5","5.3","0.5","19.3","29.6","3.1"
"2019","Twins","17.1","-1.1","-3.8","-3.4","16.0","-7.2","4.5","35.8","49.2","4.8"
"2017","Twins","13.4","-1.1","-1.9","-2.4","12.3","-4.3","3.2","30.4","41.5","4.1"
"2014","Nationals","21.1","6.3","2.4","0.0","27.4","2.4","2.4","34.0","66.2","7.3"
"2010","Rockies","-5.0","-1.2","-15.5","1.5","-6.2","-14.0","0.5","24.3","4.7","0.5"
"2012","Nationals","12.0","1.2","-0.1","1.2","13.2","1.2","0.6","25.1","40.1","4.2"
"2017","Diamondbacks","1.7","0.2","-7.4","2.4","1.9","-5.0","1.4","22.8","21.0","2.1"
"2014","Cardinals","13.4","-0.2","-5.7","2.2","13.2","-3.5","1.4","20.0","31.1","3.4"
"2012","Rockies","-5.4","-1.5","-19.5","0.1","-6.9","-19.5","0.6","26.1","0.4","0.0"
"2011","Red Sox","9.2","2.7","-7.8","3.6","11.8","-4.2","4.3","31.0","42.9","4.5"
"2013","Mariners","12.6","2.9","-1.4","2.4","15.5","1.1","2.7","19.9","39.1","4.2"
"2013","Nationals","11.4","-1.4","-12.5","1.0","9.9","-11.4","1.1","22.2","21.8","2.4"
"2013","Braves","13.7","-5.7","1.7","2.0","8.0","3.6","1.1","23.4","36.2","3.9"
"2017","Yankees","9.9","-0.3","-1.1","-2.3","9.5","-3.4","2.7","25.8","34.7","3.4"
"2015","Nationals","12.2","-10.4","-2.1","2.8","1.8","0.7","1.6","27.7","31.8","3.4"
"2016","Marlins","10.0","-1.9","6.8","2.1","8.1","8.9","0.6","19.9","37.4","3.8"
"2016","Mets","18.6","-1.7","-2.5","1.9","16.9","-0.6","1.1","35.1","52.4","5.4"
"2012","Pirates","8.6","1.3","-5.9","2.1","10.0","-3.8","0.4","17.3","23.9","2.5"
"2018","Cubs","9.9","-1.6","-1.4","1.1","8.3","-0.3","1.4","25.7","35.1","3.6"
"2015","Mariners","12.3","-3.2","1.5","2.4","9.1","4.0","2.4","20.1","35.5","3.8"
"2015","Phillies","13.6","-5.5","-13.3","0.1","8.1","-13.2","1.8","31.3","28.0","3.0"
"2017","Blue Jays","8.3","1.5","-3.2","2.1","9.8","-1.1","3.1","29.2","41.1","4.1"
"2011","Mets","19.0","1.3","-17.5","0.2","20.2","-17.3","1.7","39.5","44.1","4.7"
"2013","Diamondbacks","7.6","-9.8","-5.2","1.1","-2.2","-4.0","1.4","28.7","23.9","2.6"
"2010","Brewers","3.3","-2.6","-2.1","3.3","0.7","1.2","0.6","27.2","29.6","3.1"
"2012","Yankees","8.9","-0.8","-1.5","-4.4","8.2","-6.0","5.2","35.5","42.9","4.5"
"2019","Diamondbacks","2.1","4.4","-0.1","1.2","6.5","1.1","0.9","29.1","37.7","3.7"
"2018","Twins","6.3","-0.4","-5.7","1.4","5.8","-4.3","2.2","21.2","25.0","2.6"
"2014","Pirates","15.1","2.2","-9.9","0.5","17.3","-9.5","2.2","30.4","40.4","4.4"
"2015","Pirates","12.8","0.7","-5.0","4.1","13.6","-0.9","1.9","33.2","47.8","5.1"
"2016","Rangers","-1.7","-3.7","18.5","-1.0","-5.4","17.4","4.4","31.2","47.7","4.9"
"2011","Orioles","2.8","-1.4","-35.1","-2.4","1.4","-37.4","3.3","23.7","-9.1","-1.0"
"2017","Pirates","2.7","-2.1","7.3","2.6","0.7","10.0","2.0","32.3","45.0","4.5"
"2017","Mets","9.0","-11.8","-10.9","1.6","-2.9","-9.3","2.5","40.2","30.5","3.0"
"2015","Dodgers","11.9","-5.9","6.2","0.4","5.9","6.6","1.5","26.5","40.6","4.3"
"2017","Orioles","1.3","-5.0","2.3","2.3","-3.6","4.7","2.3","21.3","24.6","2.4"
"2010","Rangers","-5.3","0.5","-4.7","0.7","-4.8","-3.9","4.7","24.6","20.5","2.1"
"2014","Yankees","9.4","-2.3","12.4","-0.7","7.0","11.8","3.1","27.0","48.9","5.4"
"2011","Giants","11.3","-9.8","15.3","3.4","1.5","18.7","1.2","27.0","48.3","5.1"
"2010","Yankees","-1.7","2.0","2.6","0.9","0.3","3.5","4.9","25.7","34.4","3.6"
"2016","Padres","4.9","3.4","-2.9","1.4","8.3","-1.5","0.9","28.6","36.2","3.7"
"2016","Brewers","-0.1","11.3","-21.9","6.4","11.2","-15.5","1.4","47.2","44.4","4.5"
"2016","Athletics","6.8","-2.6","-18.9","-1.6","4.2","-20.4","4.2","29.3","17.2","1.8"
"2019","Padres","2.4","-5.1","2.4","4.0","-2.7","6.4","0.8","27.1","31.7","3.1"
"2016","White Sox","3.9","0.7","-2.0","1.5","4.6","-0.5","2.9","20.1","27.1","2.8"
"2016","Indians","-0.7","7.5","8.7","0.6","6.7","9.3","3.8","26.5","46.2","4.7"
"2013","Orioles","1.4","-1.1","20.8","2.4","0.3","23.2","2.7","20.3","46.5","5.0"
"2011","Blue Jays","0.9","1.6","5.2","-6.4","2.5","-1.2","4.2","30.4","35.9","3.8"
"2015","Rangers","0.7","4.4","8.7","0.8","5.1","9.5","3.0","25.3","43.0","4.6"
"2015","Rays","6.6","1.2","6.0","-0.5","7.8","5.5","2.6","22.2","38.1","4.0"
"2019","Mariners","4.2","-1.8","2.1","1.8","2.5","3.9","2.5","19.8","28.7","2.8"
"2017","Mariners","4.0","-0.5","6.3","2.3","3.5","8.6","2.2","20.6","34.9","3.5"
"2010","Cubs","-6.0","-6.4","-10.4","2.8","-12.4","-7.6","0.6","29.2","9.8","1.0"
"2016","Twins","-0.3","-3.3","-9.2","-3.7","-3.6","-12.8","5.4","38.0","26.9","2.7"
"2013","Padres","6.1","-2.9","11.5","2.2","3.2","13.6","0.9","17.5","35.2","3.8"
"2018","Rays","5.1","-2.9","4.2","1.3","2.2","5.4","2.0","19.1","28.7","3.0"
"2015","Twins","1.5","-0.8","6.9","0.8","0.7","7.7","2.9","24.6","36.0","3.8"
"2014","Rockies","-12.0","-2.1","2.4","2.9","-14.1","5.3","1.7","23.6","16.5","1.8"
"2018","Rangers","-12.5","0.5","-1.8","2.0","-12.1","0.2","4.9","46.1","39.1","4.0"
"2011","Angels","4.7","-1.4","11.1","2.8","3.3","13.9","4.2","30.7","52.1","5.5"
"2011","Cardinals","3.0","-1.3","-3.7","2.9","1.7","-0.8","1.0","22.0","23.9","2.5"
"2017","Royals","-3.2","-5.8","-4.9","0.1","-9.1","-4.8","2.7","25.7","14.5","1.4"
"2019","Giants","0.0","-2.4","1.7","1.0","-2.5","2.7","0.8","27.1","28.2","2.7"
"2015","Astros","5.5","0.9","-8.7","1.0","6.4","-7.6","3.1","26.1","28.0","3.0"
"2019","Indians","-6.0","7.4","5.9","2.6","1.3","8.5","3.4","27.1","40.3","3.9"
"2014","White Sox","3.2","-1.1","-8.6","2.5","2.1","-6.1","2.5","21.5","20.1","2.2"
"2016","Astros","3.3","-1.2","-1.6","0.4","2.1","-1.2","3.3","23.1","27.2","2.8"
"2011","Yankees","-4.6","1.6","-7.2","1.7","-3.0","-5.5","4.1","29.4","25.0","2.6"
"2014","Twins","2.2","0.8","2.7","0.9","3.0","3.6","2.6","22.5","31.7","3.5"
"2014","Marlins","2.8","-9.8","0.9","2.3","-7.0","3.3","1.4","19.5","17.1","1.9"
"2013","Cubs","1.0","0.3","-1.9","2.4","1.3","0.5","1.1","22.0","24.9","2.7"
"2019","Cardinals","-2.6","6.4","0.3","2.1","3.9","2.4","1.1","34.1","41.4","4.0"
"2014","Cubs","2.0","0.1","-2.5","1.3","2.1","-1.2","1.6","22.7","25.3","2.8"
"2018","Braves","-3.0","-2.7","6.6","2.6","-5.7","9.1","1.2","22.8","27.5","2.8"
"2012","Astros","-2.4","-6.4","-5.9","-1.3","-8.9","-7.1","0.7","27.7","12.3","1.3"
"2012","Reds","-4.5","1.9","-3.3","-2.1","-2.6","-5.4","0.7","28.1","20.8","2.2"
