"Season","Team","Bat","BsR","Fld","Pos","Off","Def","Lg","Rep","RAR","WAR"
"2012","Braves","-29.2","0.6","1.5","7.0","-28.7","8.5","0.5","18.7","-1.0","-0.1"
"2017","Padres","-40.3","1.1","-15.4","5.2","-39.2","-10.2","1.5","23.9","-24.0","-2.4"
"2010","Cardinals","-29.9","6.2","11.8","6.7","-23.7","18.6","0.4","18.0","13.2","1.4"
"2011","Braves","-33.1","-2.2","-2.2","7.8","-35.3","5.6","0.9","21.6","-7.2","-0.8"
"2010","Mariners","-26.7","-1.3","-1.7","7.0","-28.1","5.3","3.5","18.4","-0.9","-0.1"
"2014","Padres","-31.7","5.4","-5.3","8.0","-26.4","2.7","1.7","24.2","2.3","0.2"
"2013","Cardinals","-34.4","3.8","1.7","8.1","-30.6","9.8","1.1","23.0","3.3","0.4"
"2010","Orioles","-47.5","-1.8","4.5","8.0","-49.3","12.6","4.8","25.2","-6.7","-0.7"
"2016","Marlins","-26.5","2.7","6.7","6.3","-23.8","13.0","0.5","16.6","6.3","0.6"
"2019","Brewers","-37.4","1.5","0.6","6.7","-35.9","7.3","0.6","19.5","-8.5","-0.8"
"2014","Yankees","-41.9","-1.7","-6.7","6.3","-43.6","-0.4","3.1","26.5","-14.4","-1.6"
"2013","Marlins","-33.3","-6.1","-5.0","7.0","-39.4","2.0","1.0","20.4","-16.0","-1.7"
"2018","Brewers","-47.0","0.4","-4.1","7.5","-46.5","3.4","1.4","25.4","-16.4","-1.7"
"2015","Brewers","-37.7","2.8","-2.0","7.3","-34.9","5.3","1.2","20.6","-7.8","-0.8"
"2014","Brewers","-33.6","2.3","-4.9","7.2","-31.4","2.3","1.3","18.8","-9.0","-1.0"
"2010","Angels","-46.1","4.2","-2.3","7.6","-41.8","5.3","4.7","25.0","-6.8","-0.7"
"2015","Padres","-28.1","1.4","-4.5","6.0","-26.7","1.5","1.0","17.0","-7.2","-0.8"
"2013","Royals","-38.1","8.5","9.7","7.1","-29.5","16.9","2.5","18.7","8.5","0.9"
"2012","Mariners","-31.4","0.4","15.2","7.4","-31.0","22.6","2.6","18.0","12.2","1.3"
"2015","Orioles","-34.7","-0.5","6.9","6.7","-35.2","13.7","2.0","16.9","-2.7","-0.3"
