"Season","Team","Bat","BsR","Fld","Pos","Off","Def","Lg","Rep","RAR","WAR"
"2018","Orioles","-32.4","-3.5","-7.6","11.9","-35.9","4.4","1.9","18.2","-11.4","-1.2"
"2011","Twins","-38.3","-2.0","7.1","9.4","-40.3","16.5","2.9","20.9","0.0","0.0"
"2010","Mariners","-30.2","-2.7","-39.8","12.3","-32.9","-27.5","3.4","17.8","-39.2","-4.1"
"2013","Blue Jays","-36.6","-1.6","-3.0","11.9","-38.1","8.9","2.6","19.3","-7.3","-0.8"
"2014","Dodgers","-29.0","-8.6","-15.2","12.5","-37.6","-2.6","1.3","18.1","-20.8","-2.3"
"2012","Mets","-32.5","-4.3","5.5","12.3","-36.8","17.8","0.5","18.3","-0.3","0.0"
"2013","White Sox","-35.1","-3.4","1.7","12.4","-38.5","14.0","2.3","17.0","-5.1","-0.6"
"2016","Indians","-41.3","-2.9","10.1","12.1","-44.2","22.2","2.6","18.3","-1.1","-0.1"
"2018","Red Sox","-51.6","-2.6","21.2","9.8","-54.2","31.0","2.4","23.1","2.3","0.2"
"2014","Rays","-31.2","-4.0","20.1","12.3","-35.2","32.5","2.0","17.0","16.2","1.8"
"2011","Angels","-35.3","-2.0","12.0","11.9","-37.3","24.0","2.4","17.6","6.7","0.7"
"2019","Rangers","-56.7","-3.7","-12.2","12.6","-60.3","0.4","2.7","21.2","-36.0","-3.5"
"2011","Astros","-39.4","-5.4","10.6","12.3","-44.9","22.9","0.8","17.9","-3.2","-0.3"
"2019","Tigers","-55.0","-5.6","-8.8","9.9","-60.6","1.1","2.9","23.0","-33.6","-3.3"
"2013","Marlins","-40.4","-6.4","-17.6","12.4","-46.8","-5.2","0.9","18.4","-32.7","-3.5"
"2015","Mariners","-50.2","-2.2","16.3","12.2","-52.3","28.5","2.1","17.6","-4.2","-0.4"
