"Season","Team","Bat","BsR","Fld","Pos","Off","Def","Lg","Rep","RAR","WAR"
"2017","Giants","-54.6","9.3","-13.6","-10.7","-45.3","-24.3","4.7","75.1","10.2","1.0"
"2018","Royals","-44.4","-4.0","30.9","-16.7","-48.4","14.2","6.7","63.4","35.8","3.7"
"2019","Marlins","-64.9","-2.3","-1.4","-15.0","-67.2","-16.4","2.9","93.5","12.8","1.2"
"2012","Mariners","-28.7","9.2","-6.6","-15.6","-19.4","-22.2","9.4","64.7","32.4","3.4"
"2018","Giants","-38.4","2.4","-15.4","-13.5","-36.0","-28.8","3.5","65.2","3.9","0.4"
"2019","White Sox","-48.0","12.0","-17.1","-12.7","-36.0","-29.7","8.4","66.6","9.2","0.9"
"2018","Marlins","-50.9","-0.9","-6.6","-13.8","-51.8","-20.4","4.3","78.5","10.5","1.1"
"2016","Phillies","-57.8","8.5","-0.7","-12.8","-49.3","-13.5","2.0","64.6","3.8","0.4"
"2018","White Sox","-49.2","-0.3","-16.2","-18.8","-49.4","-35.0","7.1","67.4","-9.9","-1.0"
"2012","Astros","-61.5","-2.2","6.7","-12.2","-63.7","-5.4","1.6","65.4","-2.1","-0.2"
"2014","Mariners","-38.4","7.9","-11.7","-16.7","-30.5","-28.4","6.9","59.3","7.3","0.8"
"2014","Reds","-62.0","6.7","7.1","-13.5","-55.3","-6.4","4.6","65.4","8.3","0.9"
"2015","Reds","-76.5","13.4","-4.0","-12.3","-63.1","-16.3","4.3","73.9","-1.1","-0.1"
"2011","Mariners","-65.8","8.5","-10.0","-19.0","-57.3","-29.0","9.2","66.3","-10.8","-1.1"
